,Composition,Formation Energy Per Atom,Corrected Energy
0,Cs1S6Zr3,-1.9058,-70.4155
1,Nd7Os1Pr3Si5,-0.5004,-94.0804
2,Ce2La3Pt16Tm15,-1.296,-237.6016
3,Mn1Ni1Os2Sb12Yb1,-0.3064,-93.6931
4,Er8Ge4Si12Zr12,-0.8718,-254.0953
5,Ho3Ir8Sc6Si20Yb1,-0.8946,-266.4901
6,Bi1Er8Ni5Y4,-0.3881,-102.1835
7,Co4Dy4Er8Lu8Sb8,-0.749,-176.5701
8,Co4Ga1Gd4In1Tb8,-0.2804,-132.6393
9,Er2P6Ru12Si1,-0.7455,-173.9893
10,Fe2Mo1Re6Ti1Zr18,-0.2087,-270.05
11,Al8C4Cu4Zr12,-0.5957,-202.5194
12,Cd4Dy9Ir4Pr6Tb1,-0.5112,-126.095
13,Al17Lu3Os8Si7Y3,-0.6504,-249.1474
14,Cd6Er1Hg12Th5,-0.2832,-57.616
15,Ho3Nd5Sc12Sn16,-0.756,-204.9466
16,As2Cs2O8Yb2,-2.5386,-89.3124
17,Ce3Dy1Rh10Si1Zn2,-0.7618,-116.9451
18,B6Cu1Ni20Ta1Zn1,-0.299,-181.5654
19,Br5C2S1Tb6,-1.6765,-82.0523
20,I12Li4Np2,-1.2578,-74.4594
21,Eu3Sb10Th3Ti2,-0.9611,-127.4986
22,Br18Hf1Nb2Zr1,-1.5578,-102.4436
23,Ga5Hf6Nb3Si1Ta1,-0.5043,-130.5399
24,Pt1Sc4Zn3,-0.6199,-40.1392
25,F2Na2O12Sr2Ta4,-3.4195,-191.8916
26,F28Nd1Y3Zr4,-4.2218,-263.8659
27,Er1Ir4Si2Tb1Zn2,-0.8836,-66.7616
28,Al2Ce2Ir2Ru2Si2,-0.9168,-75.6016
29,Na2O16Tm2W4,-2.6501,-206.1998
30,Be2Co7Tm3,-0.2859,-74.0948
31,As1Ho10Sn6,-0.8351,-88.7367
32,B24Ca1Ru4Y7,-0.6294,-267.3327
